"name","bio","birth_date","death_date","institution","awards","known_for","fields","page_title","image_url"
"Michel H Devoret","Michel Devoret is a French physicist and F. W. Beinecke Professor of Applied Physics at Yale University. He also holds a position as the Director of the Applied Physics Nanofabrication Lab at Yale. He is known for his pioneering work on macroscopic quantum tunneling, and the single-electron pump as well as in groundbreaking contributions to initiating the fields of circuit quantum electrodynamics and quantronics.",NA,NA,"University of Paris-SudEcole Nationale Superieure des Telecommunications","Micius Quantum Prize 2021, John Bell Prize (2013)","Quantronics, single-electron pump, Circuit quantum electrodynamics","Experimental Solid-state physics, Condensed Matter Physics, Quantum error correction","Michel Devoret","https://upload.wikimedia.org/wikipedia/commons/4/46/Michel_H._Devoret_2017_190x180.jpg"
"Paul Joseph Steinhardt",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYFrank Chu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steven Robert White",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Андрей Дмитриевич Линде",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steven Allan Kivelson","Steven Allan Kivelson (born May 13, 1954) is an American theoretical physicist known for several major contributions to condensed matter physics. He is the Prabhu Goel Family Professor at Stanford University. Before joining Stanford in 2004, he was a professor of physics at the University of California at Los Angeles. Kivelson is known for his theoretical work on high-temperature superconductivity and correlated systems.","Steven Allan Kivelson  May 13, 1954 (age 71)Boston, United States",NA,"Harvard University","Oliver E. Buckley Prize (2025)",NA,"Condensed matter physics","Steven Allan Kivelson","https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/StevenKivelson.jpg/250px-StevenKivelson.jpg"
"George Albert Sawatzky","George Albert Sawatzky FRSC FRS (born 16 May 1942, Winkler, Manitoba, Canada) is a Canadian physicist, known for his research in solid state physics and strongly correlated electron systems. He has co-developed the Cini-Sawatzky theory of the Auger effect and the ZSA (Zaanen-Sawatzky-Allen) classification of bandgaps in solids.",NA,NA,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}University of Manitoba ","Henry Marshall Tory Medal (2007); Fellow of the Royal Society (2008, 2008) ",NA,NA,"George Albert Sawatzky","https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/GeorgeSawatzky1996.jpg/250px-GeorgeSawatzky1996.jpg"
"Michael Ellis Fisher","Michael Ellis Fisher (3 September 1931 – 26 November 2021) was an English physicist, as well as chemist and mathematician, known for his many seminal contributions to statistical physics, including but not restricted to the theory of phase transitions and critical phenomena. He was the Horace White Professor of Chemistry, Physics, and Mathematics at Cornell University. Later he moved to the University of Maryland College of Computer, Mathematical, and Natural Sciences, where he was University System of Maryland Regents Professor, a Distinguished University Professor and Distinguished Scholar-Teacher.","3 September 1931 in Colony of Trinidad and Tobago","26 November 2021 (aged 90)","King's College London","Irving Langmuir Award (1971)Wolf Prize (1980) Boltzmann Medal (1983) NAS Award for Scientific Reviewing (1983)Lars Onsager Prize (1995)Royal Medal (2005)BBVA Foundation Frontiers of Knowledge Award (2009)","Theory of phase transitions FKT algorithm","Statistical physics","Michael Ellis Fisher",NA
"John Matthew Martinis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fu Liang","Fu Liang (傅亮; 374–426), courtesy name Jiyou (季友), was a high-level official of the Chinese Liu Song dynasty, who, along with his colleagues Xu Xianzhi and Xie Hui, deposed Emperor Shao after the death of Emperor Wu (Liu Yu) due to their belief that Emperor Shao was not fit to be emperor. However, he was later arrested and killed by Emperor Shao's successor and brother Emperor Wen.",NA,NA,NA,NA,NA,NA,"Fu Liang",NA
"John P Perdew","John P. Perdew (born August 30, 1943) is a theoretical condensed matter physicist known for his contributions to the fields of solid-state physics and quantum chemistry. His work on density functional theory has led to him being one of the world's most cited physicists. Perdew currently teaches and conducts research at Tulane University.","August 30, 1943 (age 81)Cumberland, Maryland, US",NA,"Cornell University (Ph.D., M.S.), Gettysburg College (A.B.)","Elected to National Academy of Sciences",NA,"solid-state physics, density functional theory, quantum chemistry","John P. Perdew","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/John_Perdew.jpg/250px-John_Perdew.jpg"
"Antonio Helio Castro Neto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Vanderbilt","David Vanderbilt is an American physicist. He is a professor of physics at Rutgers University researching condensed-matter physics since 1991, and named Board of Governors Professor of Physics in 2009. He received his B.A. from Swarthmore College in 1976 and his Ph.D. from MIT in 1981 studying under John D. Joannopoulos. He received the Aneesur Rahman Prize for Computational Physics in 2006. The Aneesur Rahman prize is the highest honor given by the American Physical Society for work in computational physics. In 2013 he was elected to the National Academy of Science.","20 August 1954 in New York, U.S.",NA,"Swarthmore College (BA)Massachusetts Institute of Technology (PhD)",NA,NA,"Physics","David Vanderbilt",NA
"Paul Bruce Corkum","Paul Bruce Corkum OC OOnt FRSC FRS (born October 30, 1943) is a Canadian physicist specializing in attosecond physics and laser science. He holds a joint University of Ottawa–NRC chair in attosecond photonics. He also holds academic positions at Texas A&M University and the University of New Mexico. Corkum is both a theorist and an experimentalist. He is known for developing the theory of attosecond physics.","October 30, 1943 (age 81)Saint John, New Brunswick, Canada",NA,"Acadia University (BSc.)Lehigh University (MSc.), (PhD)","Wolf Prize in Physics (2022)BBVA Foundation Frontiers of Knowledge Award (2022)APS Medal (2025)",NA,"Attosecond physicsLaser science","Paul Bruce Corkum",NA
"Bertram J Batlogg","Bertram Josef Richard Batlogg (born 1950) is an Austrian physicist known for his research on high-temperature superconductivity.","1950Bludenz, Austria",NA,"ETH Zurich","David Adler Lectureship Award (2000)Bernd T. Matthias Prize (1997)Science Prize of the State of Vorarlberg (2004)","High-temperature superconductivity","Solid state physics, Material science","Bertram Batlogg","https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/ETH-BIB-Batlogg%2C_Bertram_%281950-%29-Portr_19684.jpg/250px-ETH-BIB-Batlogg%2C_Bertram_%281950-%29-Portr_19684.jpg"
"Bogdan Andrei Bernevig","Bogdan Andrei Bernevig (born 1978 in Bucharest) is a Romanian professor of condensed matter physics at Princeton University. His research focuses on topological insulators and other topological quantum materials. His work has been awarded numerous prizes, including the 2019 James C. McGroddy Prize of the American Physical Society and the 2023 EPS Europhysics Prize.",NA,NA,NA,NA,NA,NA,"Bogdan Andrei Bernevig",NA
"Nicolas Gisin","Nicolas Gisin (born 1952) is a Swiss physicist and professor at the University of Geneva, working on the foundations of quantum mechanics, quantum information, and communication. His work includes both experimental and theoretical physics. He has contributed work in the fields of experimental quantum cryptography and long-distance quantum communication over standard telecom optical fibers. He also co-founded ID Quantique, a company that provides quantum-based technologies.","29 May 1952 in Switzerland",NA,"University of Geneva","Micius Quantum Prize (2023)Marcel Benoist Prize (2014)John Stewart Bell Prize (2009)Descartes Prize (2004)","SARG04Long distance quantum communicationQuantum cryptographyQuantum nonlocalityQuantum teleportationWork on the foundations of quantum physicsSchrödinger–HJW theoremTime-bin encoding","Physics, Quantum foundations","Nicolas Gisin","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Nicolas_Gisin_201508.jpg/250px-Nicolas_Gisin_201508.jpg"
"Anton Zeilinger","Anton Zeilinger (.mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}German: ; born 20 May 1945) is an Austrian quantum physicist and Nobel laureate in physics of 2022. Zeilinger is professor of physics emeritus at the University of Vienna and senior scientist at the Institute for Quantum Optics and Quantum Information of the Austrian Academy of Sciences. Most of his research concerns the fundamental aspects and applications of quantum entanglement.","20 May 1945 in Austria",NA,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}University of Vienna (PhD)TU Wien (Dr. habil.)","Pour le Mérite (2000); Klopsteg Memorial Award (2004); King Faisal Prize (2005); Wilhelm Exner Medal (2005); Isaac Newton Medal (2007); Wolf Prize in Physics (2010); Racah lecture (2012); John Stewart Bell Prize (2017); IEEE Honorary Membership (2018); Micius Quantum Prize (2019); Nobel Prize in Physics (2022)","Bell test experiments; Elitzur–Vaidman bomb tester experiment; Greenberger–Horne–Zeilinger state; GHZ experiment; Quantum teleportation; Quantum entanglement swapping; Superdense coding","Physics, Quantum mechanics","Anton Zeilinger","https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Anton_Zeilinger%2C_2019_%2849085194786%29_%28cropped%29.jpg/250px-Anton_Zeilinger%2C_2019_%2849085194786%29_%28cropped%29.jpg"
"Qian Niu","Qian Xuesen (Chinese: 钱学森; December 11, 1911 – October 31, 2009; also spelled as Tsien Hsue-shen) was a Chinese aerospace engineer and cyberneticist who made significant contributions to the field of aerodynamics and established engineering cybernetics. He achieved recognition as one of America's leading experts in rockets and high-speed flight theory prior to his deportation to China in 1955.","December 11, 1911Shanghai, Qing dynasty","October 31, 2009 (aged 97)Beijing, China",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} National Chiao Tung University (BS) Massachusetts Institute of Technology (MS) California Institute of Technology (PhD)","Chinese Academy of Sciences Academician (1957); Distinguished Alumni Award from Caltech (1979); Chinese Academy of Engineering Academician (1994); Two Bombs, One Satellite Merit Medal (1999)","Co-founder of the Jet Propulsion Laboratory; Founder of engineering cybernetics; Father of Chinese space program","Aerospace engineering; Aeronautics; Engineering cybernetics","Qian Xuesen","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/%E6%AD%B8%E5%9C%8B%E5%BE%8C%E7%9A%84%E9%8C%A2%E5%AD%B8%E6%A3%AE.png/250px-%E6%AD%B8%E5%9C%8B%E5%BE%8C%E7%9A%84%E9%8C%A2%E5%AD%B8%E6%A3%AE.png"
"David Jonathan Gross","David Jonathan Gross (/ɡroʊs/; born February 19, 1941) is an American theoretical physicist and string theorist. Along with Frank Wilczek and David Politzer, he was awarded the 2004 Nobel Prize in Physics for their discovery of asymptotic freedom. Gross is the Chancellor's Chair Professor of Theoretical Physics at the Kavli Institute for Theoretical Physics (KITP) of the University of California, Santa Barbara (UCSB), and was formerly the KITP director and holder of their Frederick W. Gluck Chair in Theoretical Physics. He is also a faculty member in the UCSB Physics Department and is affiliated with the Institute for Quantum Studies at Chapman University in California. He is a foreign member of the Chinese Academy of Sciences.","David Jonathan Gross  February 19, 1941 (age 84)Washington, D.C., U.S.",NA,"Hebrew University of Jerusalem (BSc, MSc)University of California, Berkeley (PhD)","Dirac Medal (1988)Harvey Prize (2000)Nobel Prize in Physics (2004)","Asymptotic freedomHeterotic stringGross–Neveu model","Theoretical physics","David Jonathan Gross","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/David_Gross_LANL.jpg/250px-David_Gross_LANL.jpg"
"Sascha Husa","Sascha Dirk Hupmann (21 April 1970 – 12 April 2020) was a German professional basketball player from Munich. He played college basketball in the United States for the University of Evansville from 1989 to 1993. He play professional basketball in Europe and he also played for the German national team.","April 21, 1970Munich, West Germany","April 12, 2020 (aged 49)",NA,NA,NA,NA,"Sascha Hupmann",NA
"Christopher Roy Monroe","Christopher Roy Monroe (born October 19, 1965) is an American physicist and engineer in the areas of atomic, molecular, and optical physics and quantum information science, especially quantum computing. He directs one of the leading research and development efforts in ion trap quantum computing. Monroe is the Gilhuly Family Presidential Distinguished Professor of Electrical and Computer Engineering and Physics at Duke University and was College Park Professor of Physics at the University of Maryland and Fellow of the Joint Quantum Institute and Joint Center for Quantum Computer Science until 2020 when he moved to Duke. He is also co-founder of IonQ, Inc.","October 19, 1965 (age 59)Southfield, Michigan, USA",NA,"MITUniversity of Colorado","I. I. Rabi Prize International Quantum Communication AwardPresidential Early Career Award for Scientists and EngineersArthur L. Schawlow Prize in Laser Science","Quantum Information Ion Trapping","Physics Quantum Information Science Atomic Physics","Christopher Roy Monroe","https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Chris_Monroe_in_Lab.jpg/250px-Chris_Monroe_in_Lab.jpg"
"Xijing Dai","Xi Jinping (born 15 June 1953) is a Chinese politician who has been the general secretary of the Chinese Communist Party (CCP) and chairman of the Central Military Commission (CMC), and thus the paramount leader of China, since 2012. Since 2013, Xi has also served as the seventh president of China. As a member of the fifth generation of Chinese leadership, Xi is the first CCP general secretary born after the establishment of the People's Republic of China (PRC).","15 June 1953 in China",NA,"Tsinghua University (BS, LLD)","Full list",NA,NA,"Xi Jinping","https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Xi_Jinping_in_Beijing_on_May_13%2C_2025_%28cropped%29.jpg/250px-Xi_Jinping_in_Beijing_on_May_13%2C_2025_%28cropped%29.jpg"
"Nai‐Phuan Ong",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mark E J Newman","Mark Newman FRS is a British physicist and Anatol Rapoport Distinguished University Professor of Physics at the University of Michigan, as well as an external faculty member of the Santa Fe Institute. He is known for his fundamental contributions to the fields of complex systems and complex networks, for which he was awarded the Lagrange Prize in 2014 and the APS Kadanoff Prize in 2024.","Bristol, England",NA,"Merton College, Oxford",NA,NA,"Physics","Mark E. J. Newman",NA
"Richard McKelvy Martin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allan H MacDonald","Allan H. MacDonald (born December 1, 1951) is a theoretical condensed matter physicist and the Sid W. Richardson Foundation Regents Chair Professor of Physics at The University of Texas at Austin. His research interests are centered on the electronic properties of electrons in metals and semiconductors. He is well known for his work on correlated many-electron states in low-dimensional systems. In 2020, he became one of the laureates of the Wolf Prize in Physics, for predicting the magic angle that turns twisted bilayer graphene into a superconductor.","December 1, 1951 (age 73)Antigonish, Nova Scotia, Canada",NA,"St. Francis Xavier University, University of Toronto","Oliver E. Buckley Condensed Matter Prize (2007) Wolf Prize in Physics (2020) Citation Laureate (2024)",NA,"Condensed matter physics","Allan H. MacDonald","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Allan_MacDonald.jpg/250px-Allan_MacDonald.jpg"
"Jun Ye","Jun Ye (Chinese: 叶军; pinyin: Yè Jūn; born 1967) is a Chinese-American physicist at JILA, National Institute of Standards and Technology, and the University of Colorado Boulder, working primarily in the field of atomic, molecular, and optical physics.","1967 (age 57–58)Shanghai, China",NA,"Shanghai Jiao Tong University (BS)University of New Mexico (MS)University of Colorado at Boulder (PhD)","Department of Commerce Gold Medal (2001, 2011, 2014) Arthur S. Flemming Award (2005) Carl Zeiss Research Award (2007) William F. Meggers Award (2007) I.I. Rabi Prize in Atomic, Molecular or Optical Physics (2007) Elected to the National Academy of Sciences (2011) Presidential Rank Award (2015) Norman F. Ramsey Prize in Atomic, Molecular and Optical Physics, and in Precision Tests of Fundamental Laws and Symmetries (2019) Micius Quantum Prize (2020) Niels Bohr Institute Medal of Honour (2021) Breakthrough Prize in Fundamental Physics (2022)","Atomic clocks, ultracold molecules, precision spectroscopy, frequency combs","Physics","Jun Ye","https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/JunYe_1_a.jpg/250px-JunYe_1_a.jpg"
"Jerry D Tersoff","Jerry Tersoff is a Research Staff Member at the IBM Thomas J. Watson Research Center. His work spans diverse topics in the theoretical understanding of surfaces, interfaces, electronic materials, epitaxial growth, and nanoscale devices. Throughout his career, his work has emphasized the use of simple models to understand complex behavior.",NA,NA,NA,NA,NA,NA,"Jerry Tersoff",NA
"Alessandro Vespignani","Alessandro Vespignani (born April 4, 1965) is an Italian-American physicist, best known for his work on complex networks, and particularly for work on the applications of network theory to the mathematical modeling of infectious disease, applications of computational epidemiology, and for studies of the topological properties of the Internet. He is currently the Sternberg Family Distinguished University Professor of Physics, Computer Science and Health Sciences at Northeastern University, where he is the director of the Network Science Institute.","April 4, 1965 (age 60)",NA,"Sapienza University of Rome","List of American Physical Society FellowsFellows of the Network Science SocietyOrder of the Star of ItalyFellow of the American Association for the Advancement of Science","network scienceMathematical modelling of infectious diseasecomputational epidemiology",NA,"Alessandro Vespignani","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Alessandro_Vespignani_2021.jpg/250px-Alessandro_Vespignani_2021.jpg"
"Nicolas Yunes","Nicolás Yunes (born July 17, 1980) is an Argentinian theoretical physicist who is a professor at the University of Illinois Urbana-Champaign and the founding director of the Illinois Center for Advanced Studies of the Universe (ICASU). He is particularly interested in extreme gravity, gravitational waves, and compact binaries.","1980 (age 44–45)",NA,"Pennsylvania State University Washington University in St. Louis",NA,NA,NA,"Nicolas Yunes","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Nicolas_Yunes_at_PechaKucha_Bozeman.jpg/250px-Nicolas_Yunes_at_PechaKucha_Bozeman.jpg"
"Witold Nazarewicz","Oak Ridge National LaboratoryUniversity of TennesseeUniversity of Warsaw","December 26, 1954 (age 70)Warsaw, Poland",NA,"Warsaw University of Technology","Bonner Prize (2012)","Research on structure of rare isotopes","Physicist","Witold Nazarewicz","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Witold_Nazarewicz%2C_Professor_of_Physics.jpg/250px-Witold_Nazarewicz%2C_Professor_of_Physics.jpg"
"Georg Kresse","Georg Kreisel FRS (September 15, 1923 – March 1, 2015) was an Austrian-born mathematical logician who studied and worked in the United Kingdom and America.","September 15, 1923Graz, Austria","March 1, 2015 (aged 91)Salzburg, Austria","Trinity College, Cambridge",NA,"Unwinding ProgramKreisel–Putnam logic","Computer ScienceMathematicsPhilosophy","Georg Kreisel",NA
"Eugene A Demler","Eugene L. Demers (August 1842 – April 26, 1912) was an American politician from New York.",NA,NA,NA,NA,NA,NA,"Eugene L. Demers",NA
"Uros̆ Seljak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bala R Iyer","The Bâlta is a left tributary of the river Bistrița in Romania. It flows into the Bistrița near Telești. Its length is 19 km (12 mi) and its basin size is 78 km2 (30 sq mi).",NA,NA,NA,NA,NA,NA,"B%C3%A2lta (river)","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/RO_GJ_Raul_Balta_%281%29.jpg/250px-RO_GJ_Raul_Balta_%281%29.jpg"
"Eric Dean Siggia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"André K Geim",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vitor Manuel dos Santos Cardoso",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mark B Wise","Mark Brian Wise (born November 9, 1953, in Montreal, Quebec) is a Canadian-American theoretical physicist. He has conducted research in elementary particle physics and cosmology. He is best known for his role in the development of heavy quark effective theory (HQET), a mathematical formalism that has allowed physicists to make predictions about otherwise intractable problems in the theory of the strong nuclear interactions. He has also published work on mathematical models for finance and risk assessment.","Montreal, Quebec, Canada",NA,"University of Toronto (BS, MS)Stanford (PhD)","American Academy of Arts and SciencesNational Academy of SciencesSakurai Prize","Heavy quark effective theory","Particle physicsTheoretical physics","Mark B. Wise",NA
"Stephen Edward Harris","Stephen Edward Morris is an economic theorist and game theorist especially known for his research in the field of global games. Since July 2019, he has been a professor of economics at the Massachusetts Institute of Technology. Prior to that he taught at Princeton, Yale, and the University of Pennsylvania. He was the editor of Econometrica for the period 2007–2011, and in 2019 served as president of the Econometric Society.","October 19, 1963 (age 61)England",NA,"Cambridge University and Yale University",NA,NA,"Economic theory, Game theory","Stephen Edward Morris",NA
"Jens Kehlet Norskov",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albert ‐ László Barabási",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martin Bodo Plenio","Martin Bodo Plenio (born 20 May 1968) is a German physicist, Alexander von Humboldt Professor, and Director of the Institute for Theoretical Physics at Ulm University.","20 May 1968",NA,"Imperial College LondonUniversity of Göttingen","Maxwell Medal and Prize 2004, Clifford Paterson Lecture 2008, Alexander von Humboldt Foundation Humboldt Professor 2008, Max Born Prize 2012, ERC Synergy Grant 2012, ERC Synergy Grant 2019, Highly Cited Researcher","Quantum information theoryQuantum technologyQuantum biology","Physics","Martin Bodo Plenio","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Physicist_Martin_Bodo_Plenio.jpg/250px-Physicist_Martin_Bodo_Plenio.jpg"
"Yoshihisa Yamamoto Yoshihisa Yamamoto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marclm Kamionkowski","Marc Kamionkowski (born 1965) is an American theoretical physicist and currently the William R. Kenan, Jr. Professor of Physics and Astronomy at Johns Hopkins University. His research interests include particle physics, dark matter, inflation, the cosmic microwave background and gravitational waves.","1965Cleveland, Ohio, U.S.",NA,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}Washington UniversityUniversity of Chicago","Helen B. Warner Prize (1998); E. O. Lawrence Award (2006); Dannie Heineman Prize for Astrophysics (2015); Gruber Prize in Cosmology (2021)","Gravitational waves; dark matter/dark electromagnetism; inflation; cosmic microwave background","Physics, Astrophysics","Marc Kamionkowski",NA
"Satomi Uchida","Satomi Ichikawa (市川 里美, Ichikawa Satomi; 1949–) is a Japanese children's literature illustrator and author who has lived in Paris since 1971. She has illustrated more than seventy picture books in over a dozen languages, but is best known for creating the Nora series (1986–1994) and for illustrating the You Are My I Love You collection written by Maryann Cusimano Love.","January 15, 1949 (age 76)Gifu, Japan",NA,NA,NA,"Children's literature",NA,"Satomi Ichikawa",NA
"Philip S Kim","Phillip Martin Simms (born November 3, 1955) is an American former professional football quarterback who played in the National Football League (NFL) for 14 seasons with the New York Giants. After playing college football for the Morehead State Eagles, Simms was selected in the first round by the Giants as the seventh overall pick in the 1979 NFL draft. Simms was named Most Valuable Player (MVP) of Super Bowl XXI, after he led the Giants to a 39–20 victory over the Denver Broncos and set the record for highest completion percentage in a Super Bowl, completing 22 of 25 passes (88%), as well as the highest passer rating in a Super Bowl at 150.9; both of these records still stand. He was also named to the Pro Bowl for his performances in the 1985 and 1993 seasons.","November 3, 1955 (age 69)Springfield, Kentucky, U.S.",NA,NA,NA,NA,NA,"Phil Simms","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Phil_Simms_Feb_2019_3_%28cropped%29.jpg/250px-Phil_Simms_Feb_2019_3_%28cropped%29.jpg"
"Steven Gwon Sheng Louie","Steven Gwon Sheng Louie (26 March 1949, Taishan, Guangdong, China) is a computational condensed-matter physicist. He is a professor of physics at the University of California, Berkeley and senior faculty scientist in the Materials Sciences Division at Lawrence Berkeley National Laboratory, where his research focuses on nanoscience. He is also scientific director of the Theory of Nanostructured Materials Facility at the Molecular Foundry.",NA,NA,NA,NA,NA,NA,"Steven Gwon Sheng Louie",NA
"Guilherme Loss de Morais",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stanley J Brodsky","Stanley J. Brodsky (born January 9, 1940) is an American theoretical physicist and emeritus professor in the SLAC Theory Group at the SLAC National Accelerator Laboratory at Stanford University.",NA,NA,NA,NA,NA,NA,"Stanley J. Brodsky",NA
"Gen Shirane","Gen Shirane (kanji: 白根 元 Shirane Gen; furigana: しらね げん; May 15, 1924 in Nishinomiya,Japan – 16 January 16, 2005 in Bellport, New York) was a Japanese-American experimental solid-state physicist, known for his investigations using neutron scattering as a probe of solids. He lived most of his life in the USA.",NA,NA,NA,NA,NA,NA,"Gen Shirane",NA
"Juan Garcı́a‐Bellido",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Eben Strominger",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ataç İmamoǧlu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naoto Nagaosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"John Lowther Clarke",NA,NA,NA,NA,NA,NA,NA,NA,NA
"M‐L Herrera Cohen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangalore Suryanarayana Sathyaprakash",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jean‐ Marie Tarascon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony F Heinz","Tony Frederick Heinz (born 30 April 1956 in Palo Alto) is an American physicist.","April 30, 1956Palo Alto",NA,"Stanford University, Columbia University, IBM - Thomas J. Watson Research Center",NA,"Nanoscience, two-dimensional materials, laser physics",NA,"Tony F. Heinz",NA
"Michele Parrinello","Michele Parrinello (born 7 September 1945) is an Italian physicist particularly known for his work in molecular dynamics (the computer simulation of physical movements of atoms and molecules). Parrinello and Roberto Car were awarded the Dirac Medal of the International Centre for Theoretical Physics (ICTP) and the Sidney Fernbach Award in 2009 for their continuing development of the Car–Parrinello method, first proposed in their seminal 1985 paper, ""Unified Approach for Molecular Dynamics and Density-Functional Theory"". They have continued to receive awards for this breakthrough, most recently the Dreyfus Prize in the Chemical Sciences and the 2021 Benjamin Franklin Medal in Chemistry.","7 September 1945 in Italy",NA,NA,"Fellow of the Royal SocietyEPS Europhysics Prize (1990)Dirac Prize (2009)Sidney Fernbach Award (2009)Marcel Benoist Prize (2011)Dreyfus Prize in the Chemical Sciences (2017)Benjamin Franklin Medal (Franklin Institute) (2021)European Chemistry Gold Medal (2020)",NA,NA,"Michele Parrinello","https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/ETH-BIB-Parrinello%2C_Michele_%281945-%29-Portr_17881.jpg/250px-ETH-BIB-Parrinello%2C_Michele_%281945-%29-Portr_17881.jpg"
"Maciej A Lewenstein","Maciej Lewenstein (born September 21, 1955 in Warsaw), is a Polish theoretical physicist, currently an ICREA professor at ICFO – The Institute of Photonic Sciences in Castelldefels near Barcelona. He is an author of over 800 scientific articles and 2 books, and recipient of many international and national prizes. In addition to quantum physics his other passion is music, and jazz in particular. His collection of compact discs and vinyl records includes over 9000 items.","September 21, 1955 (age 69)Warsaw",NA,"University of Warsaw","Hamburg Prize for Theoretical Physics (2010)Prize of the Foundation for Polish Science (2011)Willis E. Lamb Award (2016)",NA,"Theoretical Physics","Maciej Lewenstein",NA
"Phaedon Avouris","Phaedon Avouris (Greek: Φαίδων Αβούρης) is a Greek chemical physicist specializing in nanoscience and nanotechnology. His research at the IBM Thomas J. Watson Research Center focuses on the applications of molecular devices in computing and electronics. This includes experimental and theoretical studies on the electronics and photonics of carbon nanotubes (CNT) and graphene.",NA,NA,NA,NA,NA,NA,"Phaedon Avouris",NA
"Albert R Fert","Albert Fert (.mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}French: ; born 7 March 1938) is a French physicist and one of the discoverers of giant magnetoresistance which brought about a breakthrough in gigabyte hard disks. Currently, he is an emeritus professor at Paris-Saclay University in Orsay, scientific director of a joint laboratory (Unité mixte de recherche) between the Centre national de la recherche scientifique (National Scientific Research Centre) and Thales Group, and adjunct professor at Michigan State University. He was awarded the 2007 Nobel Prize in Physics together with Peter Grünberg.","7 March 1938 in France",NA,"École normale supérieure (Paris)University of Paris","CNRS Gold medal (2003) Wolf Prize in Physics (2006)Japan Prize (2007) Nobel Prize in Physics (2007)","Giant magnetoresistive effect, spintronics, skyrmions","Physics","Albert Fert","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Fert-002.jpg/250px-Fert-002.jpg"
"David Joseph Singh","David Joseph Singh (born 1958) is a theoretical physicist who is a curators' professor in the Department of Physics and Astronomy at the University of Missouri in Columbia, Missouri. He was previously a corporate fellow at the Oak Ridge National Laboratory (ORNL).",NA,NA,NA,NA,NA,NA,"David Joseph Singh",NA
